,index,contract,stock,strike_price,stock_price,days_to_exp,bid,ask,last,prob_OTM,% OTM,ptnl_ret,annual_ptnl_ret,prob_touch,btwn_supports,company name,Days to Earnings,Risk level,Date of recommendation
0,0,GWW_111822P560,GWW,560.0,593.64,13,3.3,4.9,4.84,0.813,0.056667340475709205,0.0059277887551643605,16.643406889499936,0.374,1,WW Grainger Inc,89,risky,2022-11-05
1,1,MCK_111122P382.5,MCK,382.5,389.25,6,1.4,3.1,2.88,0.802,0.017341040462427793,0.003673576489110469,22.347590308755354,0.396,1,Mckesson Corp,87,risky,2022-11-05
2,2,AJG_111822P175,AJG,175.0,189.025,13,0.6,0.9,0.75,0.88,0.07419653484988764,0.003440366972477064,9.659491884262525,0.24,0,Arthur J. Gallagher & Co,81,risky,2022-11-05
3,3,APD_111822P260,APD,260.0,276.375,13,1.4,2.15,1.56,0.8280000000000001,0.0592492085029398,0.005413766434648104,15.200190374204293,0.344,0,Air Products and Chemicals Inc,89,risky,2022-11-05
4,4,APD_121622P250,APD,250.0,276.375,41,2.65,3.3,3.3,0.832,0.09543193125282678,0.010713563776025874,9.537684824998642,0.336,0,Air Products and Chemicals Inc,89,risky,2022-11-05
5,6,APD_121622P240,APD,240.0,276.375,41,1.7,2.05,1.9,0.891,0.13161465400271366,0.007133864876206462,6.350879706866729,0.218,0,Air Products and Chemicals Inc,89,risky,2022-11-05
6,8,COP_111122P126,COP,126.0,130.875,6,0.84,1.03,0.94,0.8,0.03724928366762181,0.006711409395973154,40.82774049217002,0.4,0,Conocophillips,88,risky,2022-11-05
7,9,COP_111122P125,COP,125.0,130.875,6,0.68,0.86,0.79,0.83,0.04489016236867238,0.00546975546975547,33.27434577434578,0.34,0,Conocophillips,88,risky,2022-11-05
8,10,COP_111122P124,COP,124.0,130.875,6,0.55,0.71,1.01,0.857,0.05253104106972306,0.0044552450384771165,27.102740650735793,0.286,0,Conocophillips,88,risky,2022-11-05
9,11,COP_111122P123,COP,123.0,130.875,6,0.44,0.59,0.84,0.88,0.06017191977077363,0.0035900783289817234,21.839643167972152,0.24,0,Conocophillips,88,risky,2022-11-05
10,12,COP_120222P120,COP,120.0,130.875,27,1.68,1.86,2.11,0.808,0.08309455587392545,0.014198782961460446,19.194651040492825,0.384,0,Conocophillips,88,risky,2022-11-05
11,13,MCK_111122P380,MCK,380.0,389.25,6,1.05,2.65,2.43,0.8260000000000001,0.023763648041104646,0.002770814091568809,16.855785723710255,0.348,0,Mckesson Corp,87,risky,2022-11-05
12,14,MCK_111122P377.5,MCK,377.5,389.25,6,0.8,2.3,1.44,0.848,0.03018625561978161,0.002123705866737457,12.919210689319529,0.304,0,Mckesson Corp,87,risky,2022-11-05
13,15,MCK_112522P365,MCK,365.0,389.25,20,1.45,3.1,2.9,0.863,0.06229929351316632,0.003988447256223352,7.278916242607619,0.274,0,Mckesson Corp,87,risky,2022-11-05
14,16,MCK_112522P360,MCK,360.0,389.25,20,1.1,2.65,2.25,0.888,0.07514450867052025,0.003064920590693787,5.593480078016161,0.224,0,Mckesson Corp,87,risky,2022-11-05
15,17,MPC_111122P112,MPC,112.0,117.97999999999999,6,0.61,0.72,0.69,0.8200000000000001,0.050686557043566616,0.005476254600951611,33.31388215578897,0.36,0,Marathon Petroleum Corp,87,risky,2022-11-05
16,18,MPC_111822P110,MPC,110.0,117.97999999999999,13,1.03,1.13,0.99,0.8,0.06763858281064583,0.009452142791594016,26.538708607167813,0.4,0,Marathon Petroleum Corp,87,risky,2022-11-05
17,19,MPC_111122P111,MPC,111.0,117.97999999999999,6,0.48,0.56,0.45,0.854,0.05916256992710622,0.004343105320304018,26.420557365182773,0.292,0,Marathon Petroleum Corp,87,risky,2022-11-05
18,20,MPC_111822P109,MPC,109.0,117.97999999999999,13,0.87,0.96,0.77,0.827,0.07611459569418533,0.008045870711180986,22.590329304469687,0.346,0,Marathon Petroleum Corp,87,risky,2022-11-05
19,21,MPC_111122P110,MPC,110.0,117.97999999999999,6,0.37,0.44,0.4,0.883,0.06763858281064583,0.0033749885980114934,20.53118063790325,0.234,0,Marathon Petroleum Corp,87,risky,2022-11-05
20,22,NDAQ_121622P55,NDAQ,55.0,61.835,41,0.4,0.6,0.5,0.865,0.1105361041481362,0.007326007326007326,6.5219333512016435,0.27,0,Nasdaq Inc,80,risky,2022-11-05
21,24,COP_112522P115,COP,115.0,130.875,20,0.6,0.74,0.4,0.906,0.12129894937917862,0.005244755244755244,9.571678321678322,0.188,1,Conocophillips,88,moderate,2022-11-05
22,25,COP_111822P115,COP,115.0,130.875,13,0.34,0.46,0.41,0.931,0.12129894937917862,0.002965288679574394,8.325618215728106,0.138,1,Conocophillips,88,moderate,2022-11-05
23,26,APD_111822P250,APD,250.0,276.375,13,0.65,0.85,1.0,0.921,0.09543193125282678,0.0026067776218167238,7.319029476639263,0.158,0,Air Products and Chemicals Inc,89,moderate,2022-11-05
24,28,APD_121622P230,APD,230.0,276.375,41,0.9,1.45,1.4,0.931,0.16779737675260065,0.00392841553906591,3.4972479799001395,0.138,0,Air Products and Chemicals Inc,89,moderate,2022-11-05
25,29,COP_111122P122,COP,122.0,130.875,6,0.36,0.48,0.4,0.9,0.06781279847182431,0.00295955277869122,18.003946070371587,0.2,0,Conocophillips,88,moderate,2022-11-05
26,30,COP_111122P121,COP,121.0,130.875,6,0.28,0.39,0.35,0.918,0.07545367717287488,0.0023194168323392977,14.109785730064061,0.164,0,Conocophillips,88,moderate,2022-11-05
27,31,COP_111822P116,COP,116.0,130.875,13,0.4,0.52,0.61,0.922,0.11365807067812794,0.003460207612456748,9.715198296513178,0.156,0,Conocophillips,88,moderate,2022-11-05
28,32,MPC_111122P109,MPC,109.0,117.97999999999999,6,0.28,0.35,0.26,0.907,0.07611459569418533,0.00257542310522443,15.667157223448617,0.186,0,Marathon Petroleum Corp,87,moderate,2022-11-05
29,33,MPC_120222P101,MPC,101.0,117.97999999999999,27,0.62,0.73,0.59,0.904,0.14392269876250208,0.006176529189081491,8.349752422276831,0.192,0,Marathon Petroleum Corp,87,moderate,2022-11-05
30,34,MPC_121622P95,MPC,95.0,117.97999999999999,41,0.68,0.74,0.69,0.921,0.1947787760637395,0.007209499575911791,6.418213037092204,0.158,0,Marathon Petroleum Corp,87,moderate,2022-11-05
31,36,NDAQ_121622P53.33,NDAQ,53.33,61.835,41,0.25,0.45,0.4,0.904,0.13754346244036553,0.004709871891484552,4.192934732663077,0.192,0,Nasdaq Inc,80,moderate,2022-11-05
32,37,APD_111822P240,APD,240.0,276.375,13,0.3,0.55,0.43,0.957,0.13161465400271366,0.0012515644555694619,3.514007894483489,0.086,0,Air Products and Chemicals Inc,89,safe,2022-11-05
33,38,COP_121622P100,COP,100.0,130.875,41,0.49,0.59,0.55,0.95,0.23591212989493793,0.004924128228318761,4.383675130088654,0.1,0,Conocophillips,88,safe,2022-11-05
34,39,COP_121622P97.5,COP,97.5,130.875,41,0.38,0.5,0.5,0.959,0.2550143266475645,0.003912685337726524,3.4832442640736128,0.082,0,Conocophillips,88,safe,2022-11-05
35,40,COP_121622P95,COP,95.0,130.875,41,0.35,0.43,0.38,0.965,0.274116523400191,0.00369783412572636,3.291974282658833,0.07,0,Conocophillips,88,safe,2022-11-05
36,41,MPC_121622P90,MPC,90.0,117.97999999999999,41,0.42,0.48,0.41,0.95,0.23715884048143743,0.004688546550569324,4.173949977945861,0.1,0,Marathon Petroleum Corp,87,safe,2022-11-05
